frame,timestamp,track_id,class_name,bev_x,bev_y,speed_mps,heading_deg,acc_mps2,risk_index
1,2026-04-14T13:26:24.534208,1,car,18.864,12.8075,0.0,0.0,0.0,0.0
1,2026-04-14T13:26:24.534208,2,car,11.5821,14.1651,0.0,0.0,0.0,0.0
1,2026-04-14T13:26:24.534208,3,car,6.5001,15.2177,0.0,0.0,0.0,0.0
1,2026-04-14T13:26:24.534208,4,car,5.9337,9.2731,0.0,0.0,0.0,0.0
1,2026-04-14T13:26:24.534208,5,car,12.171,15.4828,0.0,0.0,0.0,0.0
1,2026-04-14T13:26:24.534208,6,car,8.8176,8.5082,0.0,0.0,0.0,0.0
1,2026-04-14T13:26:24.534208,7,car,9.0312,13.1912,0.0,0.0,0.0,0.0
1,2026-04-14T13:26:24.534208,8,car,23.9368,7.7736,0.0,0.0,0.0,0.0
1,2026-04-14T13:26:24.534208,9,car,11.8306,8.1122,0.0,0.0,0.0,0.0
1,2026-04-14T13:26:24.534208,10,car,8.9788,13.1729,0.0,0.0,0.0,0.0
1,2026-04-14T13:26:24.534208,11,car,11.8315,5.3121,0.0,0.0,0.0,0.0
2,2026-04-14T13:26:24.604819,1,car,18.871,12.9552,2.0332,87.2659,20.3315,0.0
2,2026-04-14T13:26:24.604819,2,car,11.5846,14.1086,0.7771,-87.4343,7.7714,0.0
2,2026-04-14T13:26:24.604819,3,car,6.5953,15.2128,1.311,-2.9309,13.11,0.0
2,2026-04-14T13:26:24.604819,4,car,5.9114,9.2087,0.9371,-109.0501,9.3715,0.0
2,2026-04-14T13:26:24.604819,5,car,12.2037,15.4787,0.4526,-7.2735,4.5262,0.0
2,2026-04-14T13:26:24.604819,6,car,8.7622,8.353,2.2667,-109.6247,22.667,0.0
2,2026-04-14T13:26:24.604819,7,car,9.0312,13.1912,0.0,0.0,0.0,0.0
2,2026-04-14T13:26:24.604819,8,car,23.8595,7.8627,1.6224,130.9488,16.2242,0.0
2,2026-04-14T13:26:24.604819,9,car,11.7422,8.0281,1.6767,-136.4273,16.7668,0.0
2,2026-04-14T13:26:24.604819,10,car,8.9808,13.1175,0.7623,-87.9722,7.623,0.0
2,2026-04-14T13:26:24.604819,11,car,11.8315,5.3121,0.0,0.0,0.0,0.0
3,2026-04-14T13:26:24.666531,1,car,18.8225,13.094,2.8348,101.7893,20.2154,0.0
3,2026-04-14T13:26:24.666531,2,car,11.5624,14.0263,1.4635,-100.6659,11.5264,0.0
3,2026-04-14T13:26:24.666531,3,car,6.6334,15.1915,1.1654,-15.3025,6.4099,0.0
3,2026-04-14T13:26:24.666531,4,car,5.8384,9.1432,1.6773,-130.5717,13.024,0.0
3,2026-04-14T13:26:24.666531,5,car,12.2495,15.4745,0.8126,-5.7162,6.3156,0.0
3,2026-04-14T13:26:24.666531,6,car,8.7617,8.2733,2.094,-100.301,11.8731,0.0
3,2026-04-14T13:26:24.666531,7,car,9.0312,13.1912,0.0,0.0,0.0,0.0
3,2026-04-14T13:26:24.666531,8,car,23.6933,8.1207,4.7419,124.1307,40.9292,0.0
3,2026-04-14T13:26:24.666531,9,car,11.7422,8.0281,0.8104,-136.4273,1.3972,0.0
3,2026-04-14T13:26:24.666531,10,car,8.9561,13.0413,1.3859,-102.7481,10.8099,0.0
3,2026-04-14T13:26:24.666531,11,car,11.8315,5.3121,0.0,0.0,0.0,0.0
3,2026-04-14T13:26:24.666531,12,car,21.1567,7.3016,0.0,0.0,0.0,0.0
4,2026-04-14T13:26:24.726037,1,car,18.7883,13.2789,3.7676,100.9875,21.4569,0.0
4,2026-04-14T13:26:24.726037,2,car,11.5519,13.9527,1.6606,-99.2287,8.8872,0.0
4,2026-04-14T13:26:24.726037,3,car,6.7871,15.203,2.4834,-0.2358,17.026,0.0
4,2026-04-14T13:26:24.726037,4,car,5.8151,9.0767,1.6896,-119.7024,7.9377,0.0
4,2026-04-14T13:26:24.726037,5,car,12.3015,15.4748,1.0557,-2.0312,6.22,0.0
4,2026-04-14T13:26:24.726037,6,car,8.7617,8.2733,2.094,-100.301,11.8731,0.0
4,2026-04-14T13:26:24.726037,7,car,9.0312,13.1912,0.0,0.0,0.0,0.0
4,2026-04-14T13:26:24.726037,8,car,23.7351,8.2038,3.108,105.0601,8.2188,0.0
